codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec,3.0kbps,24000,20260826,0.0,110.0,110.0,110Hz_ongrid,0,110.00221704944964,110.05604674559164,109.99999824921267,109.99999906792769,110.00221704944964,110.05604674559164,0.0,0.0,0,0.8469739155763886,1.2885339325004285e-05,0.8469739155763886,1.2885339325004285e-05,0.8818665775440072,-1.4669412097403151e-05
encodec,3.0kbps,24000,20260826,0.0,110.0,110.0,110Hz_ongrid,1,110.0835594855483,110.07042605747222,109.99999830186559,109.99999866694662,110.0835594855483,110.07042605747222,0.0,0.0,0,-0.20655576901941897,5.745824657662064e-06,-0.20655576901941897,5.745824657662064e-06,1.1080452288277707,-2.0980249187753337e-05
encodec,3.0kbps,24000,20260826,0.0,110.0,110.0,110Hz_ongrid,2,110.00090606074825,110.00131348573632,109.99999893251908,109.99999870475324,110.00090606074825,110.00131348573632,0.0,0.0,0,0.006412189961173951,-3.584690769923648e-06,0.006412189961173951,-3.584690769923648e-06,0.02067216048544953,-2.0385230070132778e-05
encodec,3.0kbps,24000,20260826,0.0,110.0,110.0,110Hz_ongrid,3,109.99729805719869,110.00718726894135,109.99999867552387,109.99999826711043,109.99729805719869,110.00718726894135,0.0,0.0,0,0.15563810050026408,-6.427811437463793e-06,0.15563810050026408,-6.427811437463793e-06,0.11311307480390333,-2.7273067795562758e-05
encodec,3.0kbps,24000,20260826,0.0,110.0,110.0,110Hz_ongrid,4,109.99712725549026,109.99768796439852,109.99999905167519,109.99999870074876,109.99712725549026,109.99768796439852,0.0,0.0,0,0.0088249202841999,-5.523052630763962e-06,0.0088249202841999,-5.523052630763962e-06,-0.036388334742216685,-2.0448254476117683e-05
encodec,3.0kbps,24000,20260826,0.0,110.0,110.0,110Hz_ongrid,5,110.01462494822569,109.9964463299976,109.99999864331679,109.99999911126405,110.01462494822569,109.9964463299976,0.0,0.0,0,-0.286089629310366,7.364783870365284e-06,-0.286089629310366,7.364783870365284e-06,-0.055930308061610236,-1.398736325101858e-05
encodec,3.0kbps,24000,20260826,0.0,220.0,220.0,220Hz_ongrid,0,220.20188121021556,220.3830751575702,220.00000018815896,220.0000001938263,220.20188121021556,220.3830751575702,0.0,0.0,0,1.423966680189358,4.459784751141654e-08,1.423966680189358,4.459784751141654e-08,3.0118910594950217,1.5252666811485179e-06
encodec,3.0kbps,24000,20260826,0.0,220.0,220.0,220Hz_ongrid,1,220.33749443317677,220.21463085747573,220.00000020152385,220.00000018057045,220.33749443317677,220.21463085747573,0.0,0.0,0,-0.9656319829031473,-1.6488740969751436e-07,-0.9656319829031473,-1.6488740969751436e-07,1.6881596014271223,1.4209532477194329e-06
encodec,3.0kbps,24000,20260826,0.0,220.0,220.0,220Hz_ongrid,2,220.11871224120654,220.20501855442848,220.000000222454,220.00000022351375,220.11871224120654,220.20501855442848,0.0,0.0,0,0.6786662610381121,8.339416148831214e-09,0.6786662610381121,8.339416148831214e-09,1.612590101518708,1.7588845032153639e-06
encodec,3.0kbps,24000,20260826,0.0,220.0,220.0,220Hz_ongrid,3,220.329661529814,220.24335423458305,220.00000026103098,220.00000019123826,220.329661529814,220.24335423458305,0.0,0.0,0,-0.6782899757887245,-5.492161340363607e-07,-0.6782899757887245,-5.492161340363607e-07,1.913955887138556,1.5049009612368677e-06
