codec,rate_label,sample_rate,stimulus,reference_hz,delta_cents,rep,f_in_hz,k,f_k_hz,peak_shift_cents,in_peak_cents,width_cents,zero_level_db,grid_level_db,second_cents,second_level_db,est8_cents,est2_cents
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,1,107.488,0.3111,0.0045,25.801,-0.003,-29.176,-41.866,-19.677,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,2,214.975,-0.349,0.0045,13.276,-0.004,-21.175,20.447,-12.229,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,3,322.463,40.5581,-0.0028,9.003,-3.957,-0.924,0.907,-3.839,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,4,429.95,31.9731,-0.001,7.961,-6.078,-3.248,51.23,-5.254,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,5,537.438,63.9198,0.0001,5.399,-2.605,-11.156,0.588,-2.418,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,6,644.926,39.4817,0.0008,4.685,-17.776,-1.126,46.063,-3.178,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,7,752.413,-5.2712,0.0014,3.856,-21.787,-10.545,64.638,-5.441,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,8,859.901,-71.2206,-0.001,3.601,-9.69,-11.88,29.441,-4.751,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,9,967.388,36.3867,-0.0004,3.77,-14.985,-0.086,52.929,-2.314,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,10,1074.876,52.3932,0.0001,2.611,-22.298,-30.382,48.096,-0.267,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,11,1182.364,-85.978,0.0005,5.746,-23.361,-19.136,-94.82,-2.805,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,12,1289.851,46.9926,0.0008,3.139,-10.104,-8.182,30.618,-1.243,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,1,107.488,0.0118,0.0045,26.544,0.0,-34.643,nan,nan,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,2,214.975,-0.3405,0.0045,12.721,-0.005,-36.654,-20.845,-16.877,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,3,322.463,-0.0458,-0.0028,9.093,-0.001,-12.748,-55.008,-11.204,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,4,429.95,-0.5946,-0.001,6.27,-0.114,-8.251,10.583,-6.323,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,5,537.438,0.3136,0.0001,5.602,-0.039,-15.867,55.216,-1.44,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,6,644.926,0.4579,0.0008,4.668,-0.127,-2.78,39.589,-1.692,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,7,752.413,34.3035,0.0014,4.543,-12.674,-16.5,22.528,-1.584,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,8,859.901,-46.0896,-0.001,3.266,-17.375,-17.855,-5.152,-4.981,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,9,967.388,-63.6505,-0.0004,8.151,-14.563,-13.559,13.593,-1.553,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,10,1074.876,28.0776,0.0001,2.358,-24.554,-20.1,47.737,-8.56,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,11,1182.364,25.6351,0.0005,2.146,-24.395,-20.994,-86.098,-6.939,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,12,1289.851,23.5203,0.0008,2.091,-17.593,-18.639,-78.636,-1.126,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,1,107.488,-0.0934,0.0045,26.544,0.0,-31.579,nan,nan,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,2,214.975,-0.1054,0.0045,12.535,0.0,-15.896,-84.11,-14.835,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,3,322.463,0.0106,-0.0028,7.742,0.0,-2.063,40.13,-1.542,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,4,429.95,39.6611,-0.001,7.298,-6.054,-0.03,0.109,-6.05,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,5,537.438,60.7358,0.0001,11.971,-6.932,-18.136,1.325,-6.412,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,6,644.926,37.7914,0.0008,4.749,-26.759,-0.029,45.524,-7.972,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,7,752.413,77.8505,0.0014,7.559,-12.446,-11.091,94.414,-0.236,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,8,859.901,-70.7314,-0.001,4.895,-31.015,-17.098,-56.087,-6.509,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,9,967.388,28.2319,-0.0004,5.278,-29.76,-9.546,43.049,-9.929,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,10,1074.876,50.3617,0.0001,5.876,-16.758,-15.567,-52.625,-5.292,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,11,1182.364,7.6628,0.0005,3.604,-12.134,-8.762,25.408,-1.09,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,12,1289.851,36.7369,0.0008,3.939,-21.61,-1.754,23.875,-5.712,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,1,108.737,-0.3538,-0.0049,25.881,-0.003,-8.274,nan,nan,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,2,217.473,0.3629,-0.0049,12.934,-0.005,-30.505,-29.317,-11.285,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,3,326.21,18.2472,0.0023,9.856,-6.048,-0.003,0.083,-6.043,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,4,434.946,0.5709,0.0005,6.83,-0.085,-4.894,29.261,-1.062,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,5,543.683,0.3824,-0.0006,5.319,-0.059,-18.819,47.598,-4.875,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,6,652.419,19.2533,-0.0013,4.565,-13.072,-0.889,10.135,-10.095,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,7,761.156,59.7492,0.0012,8.647,-7.277,-22.402,84.111,-0.244,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,8,869.892,-91.6943,0.0005,3.698,-11.129,-30.038,-68.393,-10.166,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,9,978.629,12.9995,-0.0001,3.818,-37.382,-8.178,-6.326,-3.941,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,10,1087.365,29.705,-0.0006,2.543,-30.399,-20.3,12.139,-19.141,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,11,1196.102,-94.7671,0.001,2.659,-10.84,-20.153,-21.618,-2.063,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,12,1304.839,19.6617,0.0005,2.372,-17.876,-5.345,24.746,-5.505,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,1,108.7365,1,108.737,0.0489,-0.0049,25.875,0.0,-7.848,nan,nan,4.7585,-0.0015
encodec,1.5kbps,24000,tone,110.0,-20.0,1,108.7365,2,217.473,-0.1408,-0.005,13.484,-0.003,-27.274,-31.171,-14.993,4.7585,-0.0015
encodec,1.5kbps,24000,tone,110.0,-20.0,1,108.7365,3,326.21,-0.4712,0.0023,8.627,-0.03,-6.018,18.087,-6.018,4.7585,-0.0015
encodec,1.5kbps,24000,tone,110.0,-20.0,1,108.7365,4,434.946,0.4006,0.0005,7.65,-0.036,-8.604,15.411,-5.681,4.7585,-0.0015
encodec,1.5kbps,24000,tone,110.0,-20.0,1,108.7365,5,543.683,0.1325,-0.0006,5.029,-0.007,-16.065,-60.96,-3.038,4.7585,-0.0015
encodec,1.5kbps,24000,tone,110.0,-20.0,1,108.7365,6,652.419,18.471,-0.0013,4.446,-17.374,-0.127,11.282,-1.762,4.7585,-0.0015
encodec,1.5kbps,24000,tone,110.0,-20.0,1,108.7365,7,761.156,51.3853,0.0013,3.386,-13.012,-17.411,33.848,-4.122,4.7585,-0.0015
encodec,1.5kbps,24000,tone,110.0,-20.0,1,108.7365,8,869.892,36.5692,0.0005,5.131,-6.031,-16.144,29.932,-0.576,4.7585,-0.0015
encodec,1.5kbps,24000,tone,110.0,-20.0,1,108.7365,9,978.629,95.7356,-0.0001,2.414,-15.995,-17.551,65.71,-3.692,4.7585,-0.0015
encodec,1.5kbps,24000,tone,110.0,-20.0,1,108.7365,10,1087.365,30.0581,-0.0006,3.223,-18.435,-18.991,-71.22,-7.258,4.7585,-0.0015
encodec,1.5kbps,24000,tone,110.0,-20.0,1,108.7365,11,1196.102,5.9651,0.001,2.212,-3.622,-15.326,-48.698,-2.053,4.7585,-0.0015
encodec,1.5kbps,24000,tone,110.0,-20.0,1,108.7365,12,1304.839,24.8805,0.0005,2.036,-6.666,-11.094,29.529,-0.582,4.7585,-0.0015
encodec,1.5kbps,24000,tone,110.0,-20.0,2,108.7365,1,108.737,0.1397,-0.0049,25.508,0.0,-7.913,nan,nan,1.6356,-0.0362
encodec,1.5kbps,24000,tone,110.0,-20.0,2,108.7365,2,217.473,-0.2981,-0.0049,12.938,-0.01,-29.474,-59.79,-10.923,1.6356,-0.0362
encodec,1.5kbps,24000,tone,110.0,-20.0,2,108.7365,3,326.21,-0.2206,0.0023,8.868,-0.005,-14.825,-18.601,-11.465,1.6356,-0.0362
encodec,1.5kbps,24000,tone,110.0,-20.0,2,108.7365,4,434.946,0.3981,0.0005,6.649,-0.044,-17.315,-14.738,-8.336,1.6356,-0.0362
encodec,1.5kbps,24000,tone,110.0,-20.0,2,108.7365,5,543.683,0.2802,-0.0006,5.465,-0.029,-8.543,46.605,-6.395,1.6356,-0.0362
encodec,1.5kbps,24000,tone,110.0,-20.0,2,108.7365,6,652.419,9.5075,-0.0013,3.987,-5.806,-6.414,16.043,-3.305,1.6356,-0.0362
encodec,1.5kbps,24000,tone,110.0,-20.0,2,108.7365,7,761.156,50.0449,0.0013,3.287,-14.24,-17.649,25.251,-2.965,1.6356,-0.0362
encodec,1.5kbps,24000,tone,110.0,-20.0,2,108.7365,8,869.892,-91.5748,0.0005,3.41,-20.091,-22.402,-75.896,-2.278,1.6356,-0.0362
encodec,1.5kbps,24000,tone,110.0,-20.0,2,108.7365,9,978.629,6.575,-0.0001,2.541,-8.129,-15.476,26.402,-3.434,1.6356,-0.0362
encodec,1.5kbps,24000,tone,110.0,-20.0,2,108.7365,10,1087.365,29.1904,-0.0006,3.046,-19.533,-4.211,33.43,-4.069,1.6356,-0.0362
encodec,1.5kbps,24000,tone,110.0,-20.0,2,108.7365,11,1196.102,-95.5912,0.001,3.641,-18.433,-9.939,-72.611,-2.53,1.6356,-0.0362
encodec,1.5kbps,24000,tone,110.0,-20.0,2,108.7365,12,1304.839,24.3978,0.0005,2.455,-15.299,-12.345,30.365,-5.645,1.6356,-0.0362
encodec,1.5kbps,24000,tone,110.0,0.0,0,110.0,1,110.0,-0.1126,-0.0006,25.579,0.0,0.0,nan,nan,0.1581,0.1119
encodec,1.5kbps,24000,tone,110.0,0.0,0,110.0,2,220.0,0.5782,-0.0006,12.964,-0.023,-0.023,38.131,-17.097,0.1581,0.1119
encodec,1.5kbps,24000,tone,110.0,0.0,0,110.0,3,330.0,0.283,-0.0006,8.284,-0.012,-0.827,-26.367,-15.706,0.1581,0.1119
encodec,1.5kbps,24000,tone,110.0,0.0,0,110.0,4,440.0,-0.1566,-0.0006,6.124,-0.009,-0.009,19.976,-0.369,0.1581,0.1119
encodec,1.5kbps,24000,tone,110.0,0.0,0,110.0,5,550.0,0.1536,-0.0006,5.187,-0.009,-18.114,61.859,-14.468,0.1581,0.1119
encodec,1.5kbps,24000,tone,110.0,0.0,0,110.0,6,660.0,0.0722,-0.0006,4.262,-0.003,-2.855,13.287,-5.043,0.1581,0.1119
encodec,1.5kbps,24000,tone,110.0,0.0,0,110.0,7,770.0,-45.472,-0.0006,3.698,-5.461,-11.57,43.91,-3.071,0.1581,0.1119
encodec,1.5kbps,24000,tone,110.0,0.0,0,110.0,8,880.0,-100.0419,-0.0006,1.192,-8.615,-8.615,19.798,-0.507,0.1581,0.1119
encodec,1.5kbps,24000,tone,110.0,0.0,0,110.0,9,990.0,-9.1488,-0.0006,2.535,-17.929,-15.591,9.47,-2.394,0.1581,0.1119
encodec,1.5kbps,24000,tone,110.0,0.0,0,110.0,10,1100.0,8.2522,-0.0006,3.047,-14.312,-3.145,14.609,-2.076,0.1581,0.1119
encodec,1.5kbps,24000,tone,110.0,0.0,0,110.0,11,1210.0,-36.5232,-0.0006,2.308,-10.51,-15.492,-97.351,-0.485,0.1581,0.1119
encodec,1.5kbps,24000,tone,110.0,0.0,0,110.0,12,1320.0,-0.0992,-0.0006,2.192,-0.03,-8.492,-6.306,-3.191,0.1581,0.1119
encodec,1.5kbps,24000,tone,110.0,0.0,1,110.0,1,110.0,0.0257,-0.0006,25.216,0.0,0.0,nan,nan,2.7764,0.1055
encodec,1.5kbps,24000,tone,110.0,0.0,1,110.0,2,220.0,0.3503,-0.0006,13.146,-0.008,-0.008,-40.26,-18.529,2.7764,0.1055
encodec,1.5kbps,24000,tone,110.0,0.0,1,110.0,3,330.0,-0.2809,-0.0006,8.647,-0.013,-0.431,-26.245,-10.579,2.7764,0.1055
encodec,1.5kbps,24000,tone,110.0,0.0,1,110.0,4,440.0,-0.6635,-0.0006,6.757,-0.118,-0.118,38.923,-2.191,2.7764,0.1055
encodec,1.5kbps,24000,tone,110.0,0.0,1,110.0,5,550.0,-80.2622,-0.0006,5.584,-17.377,-19.251,-47.761,-14.652,2.7764,0.1055
encodec,1.5kbps,24000,tone,110.0,0.0,1,110.0,6,660.0,-2.2242,-0.0006,4.629,-2.661,-0.035,11.618,-13.475,2.7764,0.1055
encodec,1.5kbps,24000,tone,110.0,0.0,1,110.0,7,770.0,33.6733,-0.0006,3.684,-12.704,-5.871,22.455,-0.094,2.7764,0.1055
encodec,1.5kbps,24000,tone,110.0,0.0,1,110.0,8,880.0,8.9366,-0.0006,4.122,-3.775,-3.775,39.055,-2.237,2.7764,0.1055
encodec,1.5kbps,24000,tone,110.0,0.0,1,110.0,9,990.0,92.8392,-0.0006,2.845,-21.376,-33.056,77.652,-12.317,2.7764,0.1055
encodec,1.5kbps,24000,tone,110.0,0.0,1,110.0,10,1100.0,-89.563,-0.0006,2.845,-29.474,-39.455,-81.262,-0.42,2.7764,0.1055
encodec,1.5kbps,24000,tone,110.0,0.0,1,110.0,11,1210.0,-65.3636,-0.0006,2.755,-15.531,-12.538,-21.64,-1.371,2.7764,0.1055
encodec,1.5kbps,24000,tone,110.0,0.0,1,110.0,12,1320.0,-6.1723,-0.0006,2.38,-0.433,-8.906,-0.291,-0.205,2.7764,0.1055
encodec,1.5kbps,24000,tone,110.0,0.0,2,110.0,1,110.0,0.1126,-0.0006,25.574,0.0,0.0,nan,nan,-0.212,0.1915
encodec,1.5kbps,24000,tone,110.0,0.0,2,110.0,2,220.0,0.5115,-0.0006,13.145,-0.018,-0.018,77.498,-17.892,-0.212,0.1915
encodec,1.5kbps,24000,tone,110.0,0.0,2,110.0,3,330.0,1.1825,-0.0006,9.48,-0.176,-1.208,27.172,-13.201,-0.212,0.1915
encodec,1.5kbps,24000,tone,110.0,0.0,2,110.0,4,440.0,0.5987,-0.0006,6.932,-0.086,-0.086,17.304,-12.078,-0.212,0.1915
encodec,1.5kbps,24000,tone,110.0,0.0,2,110.0,5,550.0,-0.24,-0.0006,5.26,-0.027,-10.191,15.216,-9.577,-0.212,0.1915
encodec,1.5kbps,24000,tone,110.0,0.0,2,110.0,6,660.0,-0.5683,-0.0006,4.324,-0.214,-1.238,12.751,-12.787,-0.212,0.1915
encodec,1.5kbps,24000,tone,110.0,0.0,2,110.0,7,770.0,-45.1933,-0.0006,3.592,-12.403,-10.497,87.997,-4.431,-0.212,0.1915
encodec,1.5kbps,24000,tone,110.0,0.0,2,110.0,8,880.0,-100.0419,-0.0006,1.335,-19.792,-19.792,-90.147,-9.915,-0.212,0.1915
encodec,1.5kbps,24000,tone,110.0,0.0,2,110.0,9,990.0,-26.6989,-0.0006,2.967,-5.548,-7.292,8.434,-0.439,-0.212,0.1915
encodec,1.5kbps,24000,tone,110.0,0.0,2,110.0,10,1100.0,12.4363,-0.0006,3.897,-17.162,-1.136,8.275,-8.219,-0.212,0.1915
encodec,1.5kbps,24000,tone,110.0,0.0,2,110.0,11,1210.0,-13.9483,-0.0006,2.674,-4.82,-9.921,-66.416,-1.767,-0.212,0.1915
encodec,1.5kbps,24000,tone,110.0,0.0,2,110.0,12,1320.0,-12.668,-0.0006,3.538,-14.736,-9.441,16.65,-0.929,-0.212,0.1915
encodec,1.5kbps,24000,tone,110.0,20.0,0,111.2781,1,111.278,-0.0683,-0.0039,24.572,0.0,-8.275,nan,nan,-3.3531,-0.1332
encodec,1.5kbps,24000,tone,110.0,20.0,0,111.2781,2,222.556,-0.2022,-0.0039,13.711,-0.004,-32.629,-56.393,-15.748,-3.3531,-0.1332
encodec,1.5kbps,24000,tone,110.0,20.0,0,111.2781,3,333.834,-10.9386,0.0032,21.563,-0.394,-10.352,42.623,-12.749,-3.3531,-0.1332
encodec,1.5kbps,24000,tone,110.0,20.0,0,111.2781,4,445.113,0.1843,0.0014,7.743,-0.008,-7.784,18.571,-6.709,-3.3531,-0.1332
encodec,1.5kbps,24000,tone,110.0,20.0,0,111.2781,5,556.391,-0.1598,0.0003,4.772,-0.012,-5.256,-8.287,-3.381,-3.3531,-0.1332
encodec,1.5kbps,24000,tone,110.0,20.0,0,111.2781,6,667.669,-18.6591,-0.0004,5.398,-27.407,-5.332,-28.235,-5.808,-3.3531,-0.1332
encodec,1.5kbps,24000,tone,110.0,20.0,0,111.2781,7,778.947,99.5399,-0.0009,3.076,-9.413,-9.167,6.21,-4.57,-3.3531,-0.1332
encodec,1.5kbps,24000,tone,110.0,20.0,0,111.2781,8,890.225,-8.2109,-0.0012,2.773,-6.155,-7.928,-12.666,-0.687,-3.3531,-0.1332
encodec,1.5kbps,24000,tone,110.0,20.0,0,111.2781,9,1001.503,-13.3235,0.0008,7.901,-10.95,-8.331,69.855,-0.252,-3.3531,-0.1332
encodec,1.5kbps,24000,tone,110.0,20.0,0,111.2781,10,1112.781,-9.2918,0.0003,3.294,-26.818,-20.651,-4.891,-12.931,-3.3531,-0.1332
encodec,1.5kbps,24000,tone,110.0,20.0,0,111.2781,11,1224.06,-84.3399,-0.0,2.345,-13.414,-14.603,-94.432,-0.601,-3.3531,-0.1332
encodec,1.5kbps,24000,tone,110.0,20.0,0,111.2781,12,1335.338,-18.6575,-0.0004,3.66,-19.387,-10.017,-4.689,-4.558,-3.3531,-0.1332
encodec,1.5kbps,24000,tone,110.0,20.0,1,111.2781,1,111.278,-0.0923,-0.0039,25.284,0.0,-7.511,nan,nan,-1.9158,0.0684
encodec,1.5kbps,24000,tone,110.0,20.0,1,111.2781,2,222.556,0.2151,-0.0039,12.996,-0.002,-24.748,55.775,-17.903,-1.9158,0.0684
encodec,1.5kbps,24000,tone,110.0,20.0,1,111.2781,3,333.834,-0.5418,0.0032,8.43,-0.04,-26.144,73.84,-15.722,-1.9158,0.0684
encodec,1.5kbps,24000,tone,110.0,20.0,1,111.2781,4,445.113,9.9952,0.0014,13.957,-0.15,-10.346,-0.469,-0.075,-1.9158,0.0684
encodec,1.5kbps,24000,tone,110.0,20.0,1,111.2781,5,556.391,0.0318,0.0003,5.056,-0.0,-11.582,-14.308,-6.422,-1.9158,0.0684
encodec,1.5kbps,24000,tone,110.0,20.0,1,111.2781,6,667.669,-20.8834,-0.0004,5.706,-13.69,-0.481,-9.754,-10.083,-1.9158,0.0684
encodec,1.5kbps,24000,tone,110.0,20.0,1,111.2781,7,778.947,99.1008,-0.0009,2.643,-15.551,-13.909,-65.244,-2.883,-1.9158,0.0684
encodec,1.5kbps,24000,tone,110.0,20.0,1,111.2781,8,890.225,-8.1639,-0.0012,9.263,-3.257,-12.633,-29.11,-5.688,-1.9158,0.0684
encodec,1.5kbps,24000,tone,110.0,20.0,1,111.2781,9,1001.503,-29.616,0.0008,7.759,-7.275,-2.684,-46.895,-1.31,-1.9158,0.0684
encodec,1.5kbps,24000,tone,110.0,20.0,1,111.2781,10,1112.781,-10.3608,0.0003,3.045,-26.044,-17.856,-15.458,-13.348,-1.9158,0.0684
encodec,1.5kbps,24000,tone,110.0,20.0,1,111.2781,11,1224.06,-34.0261,-0.0,2.146,-10.212,-20.722,-8.632,-0.849,-1.9158,0.0684
encodec,1.5kbps,24000,tone,110.0,20.0,1,111.2781,12,1335.338,-12.3787,-0.0004,4.033,-18.712,-6.331,-17.531,-1.449,-1.9158,0.0684
encodec,1.5kbps,24000,tone,110.0,20.0,2,111.2781,1,111.278,0.1063,-0.0039,25.279,0.0,-8.35,nan,nan,-0.6957,-0.0936
encodec,1.5kbps,24000,tone,110.0,20.0,2,111.2781,2,222.556,-0.4833,-0.0039,12.824,-0.022,-17.039,nan,nan,-0.6957,-0.0936
encodec,1.5kbps,24000,tone,110.0,20.0,2,111.2781,3,333.834,0.3187,0.0032,10.205,-0.018,-3.309,-24.559,-2.137,-0.6957,-0.0936
encodec,1.5kbps,24000,tone,110.0,20.0,2,111.2781,4,445.113,-10.294,0.0014,5.553,-1.019,-10.412,0.244,-1.003,-0.6957,-0.0936
encodec,1.5kbps,24000,tone,110.0,20.0,2,111.2781,5,556.391,0.3597,0.0003,4.771,-0.067,-10.669,-8.358,-7.248,-0.6957,-0.0936
encodec,1.5kbps,24000,tone,110.0,20.0,2,111.2781,6,667.669,-19.1814,-0.0004,10.097,-19.369,-2.134,-12.323,-2.218,-0.6957,-0.0936
encodec,1.5kbps,24000,tone,110.0,20.0,2,111.2781,7,778.947,99.6112,-0.0009,2.402,-11.647,-10.229,-65.509,-4.756,-0.6957,-0.0936
encodec,1.5kbps,24000,tone,110.0,20.0,2,111.2781,8,890.225,0.2802,-0.0012,6.715,-0.066,-4.927,-13.518,-0.531,-0.6957,-0.0936
encodec,1.5kbps,24000,tone,110.0,20.0,2,111.2781,9,1001.503,-46.6162,0.0008,3.251,-14.994,-11.066,-30.871,-0.321,-0.6957,-0.0936
encodec,1.5kbps,24000,tone,110.0,20.0,2,111.2781,10,1112.781,-8.8461,0.0003,2.756,-26.708,-10.045,-13.088,-7.812,-0.6957,-0.0936
encodec,1.5kbps,24000,tone,110.0,20.0,2,111.2781,11,1224.06,-35.1639,-0.0,2.61,-16.188,-7.259,-61.014,-0.557,-0.6957,-0.0936
encodec,1.5kbps,24000,tone,110.0,20.0,2,111.2781,12,1335.338,-20.9069,-0.0004,2.613,-17.214,-1.926,-16.003,-4.35,-0.6957,-0.0936
encodec,1.5kbps,24000,tone,110.0,40.0,0,112.5711,1,112.571,0.6661,0.0064,24.981,-0.011,-24.616,nan,nan,-3.8221,-0.3581
encodec,1.5kbps,24000,tone,110.0,40.0,0,112.5711,2,225.142,-1.9574,-0.004,13.039,-0.296,-26.603,nan,nan,-3.8221,-0.3581
encodec,1.5kbps,24000,tone,110.0,40.0,0,112.5711,3,337.713,1.3226,-0.0005,7.62,-0.365,-10.056,-11.528,-2.005,-3.8221,-0.3581
encodec,1.5kbps,24000,tone,110.0,40.0,0,112.5711,4,450.285,-1.7949,0.0012,6.255,-0.966,-2.703,-36.572,-0.649,-3.8221,-0.3581
encodec,1.5kbps,24000,tone,110.0,40.0,0,112.5711,5,562.856,-2.2607,-0.0019,6.767,-1.525,-31.094,-69.564,-13.316,-3.8221,-0.3581
encodec,1.5kbps,24000,tone,110.0,40.0,0,112.5711,6,675.427,-41.6217,-0.0005,5.408,-13.957,-0.054,-1.223,-13.208,-3.8221,-0.3581
encodec,1.5kbps,24000,tone,110.0,40.0,0,112.5711,7,787.998,-1.4861,0.0005,3.523,-2.02,-19.822,-85.72,-8.063,-3.8221,-0.3581
encodec,1.5kbps,24000,tone,110.0,40.0,0,112.5711,8,900.569,-30.8767,0.0012,3.807,-9.022,-17.359,-75.29,-4.619,-3.8221,-0.3581
encodec,1.5kbps,24000,tone,110.0,40.0,0,112.5711,9,1013.14,-48.0204,-0.0005,4.303,-24.407,-15.306,53.764,-2.244,-3.8221,-0.3581
encodec,1.5kbps,24000,tone,110.0,40.0,0,112.5711,10,1125.711,-30.2326,0.0002,3.654,-25.411,-15.134,-35.745,-14.788,-3.8221,-0.3581
encodec,1.5kbps,24000,tone,110.0,40.0,0,112.5711,11,1238.282,100.0175,0.0007,1.027,-20.06,-23.459,-53.238,-9.117,-3.8221,-0.3581
encodec,1.5kbps,24000,tone,110.0,40.0,0,112.5711,12,1350.854,-49.7066,-0.0005,2.808,-15.498,-4.308,-42.634,-3.454,-3.8221,-0.3581
encodec,1.5kbps,24000,tone,110.0,40.0,1,112.5711,1,112.571,0.4237,0.0064,24.986,-0.005,-30.494,nan,nan,2.1382,0.5261
encodec,1.5kbps,24000,tone,110.0,40.0,1,112.5711,2,225.142,0.8552,-0.004,12.665,-0.046,-22.255,-29.038,-16.346,2.1382,0.5261
encodec,1.5kbps,24000,tone,110.0,40.0,1,112.5711,3,337.713,-2.9345,-0.0005,8.11,-1.753,-28.05,9.837,-11.923,2.1382,0.5261
encodec,1.5kbps,24000,tone,110.0,40.0,1,112.5711,4,450.285,-2.9257,0.0012,7.582,-1.947,-8.259,-46.125,-5.049,2.1382,0.5261
encodec,1.5kbps,24000,tone,110.0,40.0,1,112.5711,5,562.856,-1.2589,-0.0019,9.44,-0.158,-20.91,nan,nan,2.1382,0.5261
encodec,1.5kbps,24000,tone,110.0,40.0,1,112.5711,6,675.427,90.4427,-0.0005,6.183,-8.104,-17.912,-0.578,-8.013,2.1382,0.5261
encodec,1.5kbps,24000,tone,110.0,40.0,1,112.5711,7,787.998,-2.0347,0.0005,4.531,-2.826,-10.592,79.452,-12.295,2.1382,0.5261
encodec,1.5kbps,24000,tone,110.0,40.0,1,112.5711,8,900.569,69.7592,0.0012,4.268,-10.295,-30.265,-1.737,-7.013,2.1382,0.5261
encodec,1.5kbps,24000,tone,110.0,40.0,1,112.5711,9,1013.14,61.3471,-0.0005,4.832,-17.907,-46.446,46.545,-11.06,2.1382,0.5261
encodec,1.5kbps,24000,tone,110.0,40.0,1,112.5711,10,1125.711,-59.7084,0.0002,2.66,-22.687,-12.173,56.409,-3.766,2.1382,0.5261
