file,offset,f_in,f_out,cents_in,within_semitone,shift_cents,toward_grid,disagreement
bass_electronic_018-048-075.wav,0.0,130.870066293759,130.87426775918127,-2099.2420489459187,0.7579510540813317,0.05557881527360137,-0.05557881527360137,964.8621135210968
bass_electronic_018-048-075.wav,8.0,131.47617864312804,131.47120814865065,-2091.2425122721957,8.757487727804346,-0.06545103479431978,0.06545103479431978,974.7006136045808
bass_electronic_018-048-075.wav,16.0,132.08515286841987,132.08279809720295,-2083.242258335548,16.75774166445217,-0.03086415360895547,0.03086415360895547,955.7281380096854
bass_electronic_018-048-075.wav,25.0,132.7735932905861,132.77205717587788,-2074.242335161085,25.757664838914934,-0.020029505898396742,0.020029505898396742,992.5111197113323
bass_electronic_018-048-075.wav,33.0,133.3885660459634,133.38710656015817,-2066.2422222180385,33.75777778196152,-0.018942593194160612,0.018942593194160612,1199.993622292605
bass_electronic_018-048-075.wav,41.0,134.0063819503544,134.00762301508612,-2058.2421770335695,41.75782296643047,0.016033292893916785,-0.016033292893916785,1021.0504465836005
bass_electronic_018-048-075.wav,50.0,134.70480834559413,134.70847895858128,-2049.242609298835,50.75739070116515,0.047174289347618276,0.047174289347618276,1014.5094849588313
bass_electronic_018-048-075.wav,58.0,135.32872440871907,135.33199049964387,-2041.2425165448894,58.75748345511056,0.04178196173407473,0.04178196173407473,1199.9994704021078
bass_electronic_018-048-075.wav,66.0,135.95552667315664,135.96278037195663,-2033.2424697387676,66.75753026123243,0.09236487593378816,0.09236487593378816,1200.0004943109177
bass_electronic_018-048-075.wav,75.0,136.66415871542173,136.6697079562724,-2024.2423076184007,75.75769238159933,0.07029523875272839,0.07029523875272839,1200.0093599231527
bass_electronic_018-048-075.wav,83.0,137.29712817701764,137.29995959086324,-2016.242489496396,83.75751050360395,0.03570205420985239,0.03570205420985239,1199.9998466193304
bass_electronic_018-048-075.wav,91.0,137.93304202821977,137.9373332868023,-2008.2425113713775,91.75748862862247,0.053859882298148413,0.053859882298148413,1200.0075463532605
bass_electronic_018-049-075.wav,0.0,138.71419124014344,138.71316878034457,-1998.4657592877074,1.5342407122925579,-0.012760941945037603,0.012760941945037603,1199.999736797335
bass_electronic_018-049-075.wav,8.0,139.3566664584345,139.35183256371332,-1990.4658058800553,9.534194119944686,-0.06005273008242238,0.06005273008242238,1200.0025782791274
bass_electronic_018-049-075.wav,16.0,140.00212164815625,139.99614640233702,-1982.4657998835137,17.534200116486318,-0.07389009287367017,0.07389009287367017,1199.9959979778876
bass_electronic_018-049-075.wav,25.0,140.73183281642514,140.72665322960398,-1973.4657936818212,26.534206318178803,-0.06371864776131941,0.06371864776131941,1199.9973344588336
bass_electronic_018-049-075.wav,33.0,141.3836486931485,141.3785380551335,-1965.465893488921,34.53410651107902,-0.06258057802374538,0.06258057802374538,1199.9963822566265
bass_electronic_018-049-075.wav,41.0,142.0385057970117,142.03432921146572,-1957.4657219074534,42.53427809254663,-0.05090699437253293,0.05090699437253293,1199.9992313572304
bass_electronic_018-049-075.wav,50.0,142.77880674044889,142.77523409903924,-1948.4660085499338,51.533991450066196,-0.04331984541782769,-0.04331984541782769,1199.9980233643237
bass_electronic_018-049-075.wav,58.0,143.44012254034985,143.43712435361255,-1940.4658775299317,59.53412247006827,-0.03618664792311587,-0.03618664792311587,1199.9999075349185
bass_electronic_018-049-075.wav,66.0,144.1044856053502,144.10410716115499,-1932.46593614254,67.53406385746007,-0.0045465367296560364,-0.0045465367296560364,1200.0020021570708
bass_electronic_018-049-075.wav,75.0,144.85558435432523,144.85751645694978,-1923.4658645605914,76.5341354394086,0.02309127092004476,0.02309127092004476,1200.0027684984486
bass_electronic_018-049-075.wav,83.0,145.52649592816942,145.53496852999734,-1915.4660112212114,84.53398877878863,0.10079009806468714,0.10079009806468714,1200.004240081054
bass_electronic_018-049-075.wav,91.0,146.20054091558185,146.20677877269873,-1907.4658496865177,92.53415031348231,0.07386402397231069,0.07386402397231069,1199.9936694652622
bass_electronic_018-059-025.wav,0.0,247.18369516977,247.174249239843,-998.3039291990395,1.696070800960456,-0.06615900766497033,0.06615900766497033,2038.2556915916102
bass_electronic_018-059-025.wav,8.0,248.32855239239072,248.3166989003828,-990.3040489067783,9.695951093221652,-0.08263914298971936,0.08263914298971936,2070.4341539074353
bass_electronic_018-059-025.wav,16.0,249.47872527835963,249.470156809971,-982.304077451648,17.695922548351973,-0.05946109814750633,0.05946109814750633,2079.2997250065464
bass_electronic_018-059-025.wav,25.0,250.77905414769148,250.77098515858162,-973.3040027855129,26.69599721448708,-0.055704546286346066,0.055704546286346066,2088.8388000439986
bass_electronic_018-059-025.wav,33.0,251.94058094814145,251.9335985254126,-965.3040036459548,34.69599635404518,-0.04798105743989725,0.04798105743989725,2077.6606960037925
bass_electronic_018-059-025.wav,41.0,253.10747477967672,253.10443359713517,-957.3040919361504,42.69590806384963,-0.0208015602885542,0.0208015602885542,2127.88368084095
bass_electronic_018-059-025.wav,50.0,254.42671150484114,254.43073244323983,-948.3040570900916,51.695942909908354,0.02736006143961017,0.02736006143961017,2120.151965171784
bass_electronic_018-059-025.wav,58.0,255.6051396392956,255.60967091503147,-940.3040134201246,59.69598657987535,0.030690420848028,0.030690420848028,2133.7011556510647
bass_electronic_018-059-025.wav,66.0,256.7890254709259,256.78935326133006,-932.303972636429,67.69602736357103,0.002209913548540099,0.002209913548540099,2157.301578125735
