cents,f0,rep,q0_mode,q0_nuniq,q1_mode,q1_nuniq,q2_mode,q2_nuniq,q3_mode,q3_nuniq
558.0,303.6698177472584,0,508,11,626,12,683,12,59,28
558.0,303.6698177472584,1,262,10,626,11,756,17,251,27
558.0,303.6698177472584,2,508,11,538,13,460,17,59,25
560.0,304.0208335929107,0,932,9,538,13,683,13,144,25
560.0,304.0208335929107,1,932,9,626,15,683,12,144,25
560.0,304.0208335929107,2,932,10,274,12,683,16,629,27
562.0,304.3722551822909,0,508,12,626,10,756,16,486,28
562.0,304.3722551822909,1,932,10,538,11,756,13,486,24
562.0,304.3722551822909,2,902,9,626,11,756,12,4,19
564.0,304.7240829844034,0,652,11,626,9,683,13,59,22
564.0,304.7240829844034,1,262,10,538,12,683,14,59,23
564.0,304.7240829844034,2,932,11,626,12,683,10,71,24
566.0,305.0763174687947,0,262,9,626,12,683,13,59,24
566.0,305.0763174687947,1,856,12,626,13,364,20,70,26
566.0,305.0763174687947,2,262,9,274,10,683,12,608,26
568.0,305.42895910555404,0,932,13,538,13,683,13,608,23
568.0,305.42895910555404,1,528,14,538,12,756,19,155,23
568.0,305.42895910555404,2,902,10,274,9,756,12,608,24
570.0,305.78200836531414,0,932,10,274,12,683,13,629,20
570.0,305.78200836531414,1,262,14,538,12,923,17,944,20
570.0,305.78200836531414,2,932,11,626,11,683,13,608,20
572.0,306.1354657192516,0,918,14,538,10,756,22,155,23
572.0,306.1354657192516,1,262,11,626,11,683,14,319,22
572.0,306.1354657192516,2,932,10,626,9,683,13,319,28
574.0,306.48933163908777,0,918,16,538,12,756,19,486,25
574.0,306.48933163908777,1,932,11,538,13,683,11,629,26
574.0,306.48933163908777,2,262,12,626,14,683,15,59,26
576.0,306.8436065970892,0,262,10,626,13,683,11,738,16
576.0,306.8436065970892,1,932,9,712,11,683,11,454,19
576.0,306.8436065970892,2,528,13,538,11,460,13,144,25
578.0,307.19829106606835,0,528,16,538,11,460,19,608,25
578.0,307.19829106606835,1,902,10,626,13,683,15,251,21
578.0,307.19829106606835,2,448,13,538,13,460,16,738,23
580.0,307.5533855193843,0,652,9,538,11,756,12,6,20
580.0,307.5533855193843,1,262,11,538,9,756,13,51,23
580.0,307.5533855193843,2,932,12,626,9,683,14,608,24
582.0,307.9088904309431,0,902,15,538,10,683,13,4,24
582.0,307.9088904309431,1,932,11,538,13,756,10,6,21
582.0,307.9088904309431,2,652,11,634,12,683,14,4,20
584.0,308.2648062751988,0,219,14,538,9,460,12,608,17
584.0,308.2648062751988,1,932,11,626,9,683,13,629,18
584.0,308.2648062751988,2,508,11,538,8,683,11,656,20
586.0,308.62113352715375,0,262,10,626,9,683,14,6,21
586.0,308.62113352715375,1,262,9,274,14,683,14,4,25
586.0,308.62113352715375,2,932,10,538,15,683,12,6,21
588.0,308.9778726623594,0,902,11,538,10,683,15,6,23
588.0,308.9778726623594,1,219,15,538,14,460,19,6,28
588.0,308.9778726623594,2,262,13,538,12,683,17,4,23
590.0,309.33502415691686,0,528,13,538,9,756,11,821,15
590.0,309.33502415691686,1,262,12,712,10,683,13,608,16
590.0,309.33502415691686,2,902,12,538,10,923,11,608,21
592.0,309.6925884874777,0,262,13,538,10,460,20,404,26
592.0,309.6925884874777,1,455,12,538,16,756,20,6,26
592.0,309.6925884874777,2,219,13,538,12,460,17,276,26
594.0,310.0505661312443,0,902,9,538,11,683,13,821,21
594.0,310.0505661312443,1,262,12,626,9,683,11,166,24
594.0,310.0505661312443,2,262,10,274,11,683,16,4,24
596.0,310.40895756597064,0,508,11,538,12,683,10,251,22
596.0,310.40895756597064,1,262,12,538,14,756,16,6,24
596.0,310.40895756597064,2,902,11,538,10,923,15,4,26
598.0,310.76776326996315,0,932,9,538,10,683,13,656,18
598.0,310.76776326996315,1,902,10,538,11,683,11,6,15
598.0,310.76776326996315,2,262,9,876,9,683,11,629,19
600.0,311.1269837220809,0,262,14,538,12,923,15,140,28
600.0,311.1269837220809,1,652,9,538,13,683,15,4,26
600.0,311.1269837220809,2,902,13,538,13,756,13,6,25
602.0,311.4866194017366,0,262,14,538,10,923,12,821,25
602.0,311.4866194017366,1,508,10,626,12,683,11,6,19
602.0,311.4866194017366,2,902,10,538,11,683,16,6,23
604.0,311.84667078889714,0,932,11,538,9,756,11,608,22
604.0,311.84667078889714,1,918,14,538,11,460,16,173,26
604.0,311.84667078889714,2,902,15,538,12,460,16,629,23
606.0,312.20713836408413,0,219,14,538,17,683,17,6,23
606.0,312.20713836408413,1,932,11,538,14,683,15,608,25
606.0,312.20713836408413,2,902,13,538,10,460,15,608,24
608.0,312.5680226083747,0,262,9,182,9,923,11,4,20
608.0,312.5680226083747,1,932,7,538,11,683,8,629,14
608.0,312.5680226083747,2,219,12,538,12,379,17,677,23
610.0,312.9293240034019,0,528,14,538,14,756,13,629,22
610.0,312.9293240034019,1,508,13,538,12,460,17,6,26
610.0,312.9293240034019,2,902,15,538,14,683,14,821,27
612.0,313.2910430313558,0,363,14,538,12,37,19,629,17
612.0,313.2910430313558,1,902,14,538,12,923,15,629,27
612.0,313.2910430313558,2,902,12,876,11,683,11,6,26
614.0,313.6531801749835,0,508,13,538,10,683,12,51,19
614.0,313.6531801749835,1,262,10,876,12,683,12,6,21
614.0,313.6531801749835,2,528,15,538,15,923,13,6,20
616.0,314.01573591759046,0,508,10,527,15,683,15,966,24
616.0,314.01573591759046,1,508,9,538,10,683,15,629,31
616.0,314.01573591759046,2,902,10,527,13,683,11,6,24
618.0,314.3787107430405,0,932,12,274,10,683,11,6,23
618.0,314.3787107430405,1,932,13,538,16,683,12,6,25
618.0,314.3787107430405,2,262,10,876,13,683,11,6,22
620.0,314.74210513575684,0,262,9,876,11,683,10,6,17
620.0,314.74210513575684,1,262,12,538,10,683,14,629,22
620.0,314.74210513575684,2,528,13,538,13,460,15,173,26
622.0,315.10591958072274,0,902,11,538,10,460,10,51,18
622.0,315.10591958072274,1,262,12,538,9,683,11,966,17
622.0,315.10591958072274,2,902,13,538,14,923,11,629,18
624.0,315.470154563482,0,932,11,538,14,683,12,6,24
624.0,315.470154563482,1,363,14,538,18,923,19,6,25
624.0,315.470154563482,2,448,13,538,14,460,16,404,23
626.0,315.83481057013967,0,528,16,538,15,923,15,6,23
626.0,315.83481057013967,1,902,15,182,14,683,14,6,25
626.0,315.83481057013967,2,918,13,538,11,683,21,629,23
628.0,316.19988808736264,0,932,11,538,9,683,12,276,23
628.0,316.19988808736264,1,932,12,538,14,683,13,51,21
628.0,316.19988808736264,2,932,12,136,14,683,12,6,27
630.0,316.56538760238044,0,508,13,876,13,683,12,51,20
630.0,316.56538760238044,1,932,11,538,12,683,9,6,24
630.0,316.56538760238044,2,448,13,538,10,756,13,629,19
632.0,316.9313096029856,0,932,12,527,14,683,10,51,25
632.0,316.9313096029856,1,363,15,538,13,460,21,629,25
632.0,316.9313096029856,2,448,11,538,16,923,13,6,22
634.0,317.2976545775349,0,996,11,538,9,683,10,276,16
634.0,317.2976545775349,1,902,14,327,10,683,14,6,18
634.0,317.2976545775349,2,455,13,136,13,364,19,6,18
636.0,317.6644230149492,0,508,11,538,13,683,12,629,22
636.0,317.6644230149492,1,932,11,538,11,683,15,6,19
636.0,317.6644230149492,2,508,12,538,13,683,10,6,20
638.0,318.0316154047146,0,932,11,538,13,683,14,51,24
638.0,318.0316154047146,1,902,16,538,15,683,19,629,28
638.0,318.0316154047146,2,448,14,538,15,923,19,51,24
640.0,318.3992322368832,0,902,11,538,11,683,16,51,22
640.0,318.3992322368832,1,902,13,182,12,683,14,51,20
640.0,318.3992322368832,2,932,11,876,12,683,13,6,20
642.0,318.76727400207335,0,262,6,592,8,683,10,404,8
642.0,318.76727400207335,1,448,10,876,7,683,9,51,9
642.0,318.76727400207335,2,262,7,527,5,683,7,6,10
644.0,319.13574119147063,0,262,13,327,15,683,12,51,22
644.0,319.13574119147063,1,363,14,538,12,683,22,51,22
644.0,319.13574119147063,2,262,14,538,11,683,18,51,17
646.0,319.50463429682844,0,448,16,327,16,923,18,6,22
646.0,319.50463429682844,1,448,17,538,15,756,21,51,22
646.0,319.50463429682844,2,996,12,327,9,683,13,51,21
648.0,319.8739538104683,0,996,12,538,12,683,12,51,18
648.0,319.8739538104683,1,943,14,538,14,683,19,287,24
648.0,319.8739538104683,2,996,12,538,12,683,12,51,25
650.0,320.2437002252812,0,448,15,538,14,683,16,51,23
650.0,320.2437002252812,1,262,15,527,15,683,15,51,21
650.0,320.2437002252812,2,508,16,136,13,683,13,51,26
652.0,320.61387403472764,0,448,13,538,15,683,22,6,27
652.0,320.61387403472764,1,448,12,592,13,683,16,51,19
652.0,320.61387403472764,2,448,16,712,16,683,20,6,21
654.0,320.9844757328386,0,448,12,712,12,923,18,6,19
654.0,320.9844757328386,1,448,14,327,16,905,22,6,22
654.0,320.9844757328386,2,528,15,136,16,573,18,629,21
656.0,321.355505814216,0,448,15,592,11,683,17,6,22
656.0,321.355505814216,1,448,12,327,11,683,13,6,21
656.0,321.355505814216,2,996,11,136,10,683,11,230,13
658.0,321.72696477403366,0,448,14,538,14,683,20,6,25
658.0,321.72696477403366,1,283,14,327,12,573,17,6,24
658.0,321.72696477403366,2,448,16,538,18,683,17,51,23
660.0,322.0988531080376,0,448,15,712,13,683,15,6,18
660.0,322.0988531080376,1,448,19,327,16,683,22,6,21
660.0,322.0988531080376,2,448,15,538,15,683,18,51,23
662.0,322.471171312547,0,448,12,327,13,905,19,6,19
662.0,322.471171312547,1,262,9,136,10,683,10,51,17
662.0,322.471171312547,2,508,13,136,12,683,14,276,16
664.0,322.84391988445475,0,448,16,538,13,683,20,6,25
664.0,322.84391988445475,1,448,12,876,14,683,16,287,20
664.0,322.84391988445475,2,448,12,136,14,683,16,51,20
666.0,323.21709932122803,0,996,11,136,15,683,17,6,18
666.0,323.21709932122803,1,448,12,712,12,683,15,51,21
666.0,323.21709932122803,2,943,14,712,19,114,21,6,20
668.0,323.59071012090897,0,448,16,327,15,683,21,6,27
668.0,323.59071012090897,1,616,13,327,11,683,11,51,19
668.0,323.59071012090897,2,218,12,136,11,683,10,6,20
670.0,323.9647527821156,0,448,13,327,17,683,21,6,24
670.0,323.9647527821156,1,1002,13,327,14,683,16,51,17
670.0,323.9647527821156,2,943,14,136,13,683,17,6,21
672.0,324.33922780404225,0,448,14,592,14,683,17,51,23
672.0,324.33922780404225,1,283,12,712,15,683,18,6,20
672.0,324.33922780404225,2,448,13,327,16,683,16,6,19
674.0,324.7141356864602,0,448,8,136,14,683,14,256,13
674.0,324.7141356864602,1,902,13,592,12,683,13,287,17
674.0,324.7141356864602,2,448,10,327,13,683,14,6,16
676.0,325.0894769297184,0,1002,7,538,10,683,12,51,10
676.0,325.0894769297184,1,943,7,583,11,683,10,229,9
676.0,325.0894769297184,2,996,8,136,9,683,6,230,9
678.0,325.4652520347442,0,494,15,538,11,683,17,70,21
678.0,325.4652520347442,1,448,12,136,11,683,14,6,18
678.0,325.4652520347442,2,1002,12,592,13,683,11,51,23
680.0,325.8414615030441,0,616,14,876,11,683,13,147,23
680.0,325.8414615030441,1,996,12,136,12,683,9,6,20
680.0,325.8414615030441,2,448,13,136,15,683,15,6,18
682.0,326.2181058367042,0,283,14,327,16,683,21,6,20
682.0,326.2181058367042,1,448,13,136,11,683,15,229,19
682.0,326.2181058367042,2,448,15,761,13,683,12,325,17
684.0,326.5951855383908,0,448,15,327,13,683,23,6,27
684.0,326.5951855383908,1,283,14,327,16,683,18,6,19
684.0,326.5951855383908,2,996,10,136,12,683,15,229,19
686.0,326.97270111135157,0,448,13,136,11,683,21,6,23
686.0,326.97270111135157,1,448,14,136,14,683,16,6,22
686.0,326.97270111135157,2,448,12,327,11,683,20,6,22
688.0,327.3506530594156,0,218,9,136,11,683,6,325,21
688.0,327.3506530594156,1,218,10,136,9,683,10,6,20
688.0,327.3506530594156,2,616,11,136,12,683,10,6,19
690.0,327.72904188699454,0,218,13,761,13,683,9,325,21
690.0,327.72904188699454,1,448,17,327,14,683,20,6,23
690.0,327.72904188699454,2,448,13,538,13,683,20,6,23
692.0,328.10786809908296,0,218,11,136,8,683,12,6,16
692.0,328.10786809908296,1,218,11,136,8,683,12,6,14
692.0,328.10786809908296,2,218,11,136,9,683,9,229,12
694.0,328.4871322012594,0,448,15,761,13,683,14,229,23
694.0,328.4871322012594,1,234,16,538,16,683,20,6,20
694.0,328.4871322012594,2,448,16,761,10,683,18,6,24
696.0,328.8668346996864,0,1002,14,761,9,683,15,229,21
696.0,328.8668346996864,1,448,12,136,15,683,14,6,20
696.0,328.8668346996864,2,943,13,136,12,683,14,6,18
698.0,329.2469761011121,0,448,13,761,12,683,23,6,23
698.0,329.2469761011121,1,448,13,327,12,683,13,229,20
698.0,329.2469761011121,2,996,11,761,9,683,12,287,23
700.0,329.6275569128699,0,594,10,136,9,683,12,6,18
700.0,329.6275569128699,1,448,12,538,13,683,19,6,22
700.0,329.6275569128699,2,218,11,761,12,683,10,6,19
702.0,330.00857764287997,0,448,10,761,9,683,10,6,11
702.0,330.00857764287997,1,218,8,136,8,683,7,6,8
702.0,330.00857764287997,2,186,11,136,12,683,14,6,12
704.0,330.39003879964946,0,448,12,761,11,683,17,6,25
704.0,330.39003879964946,1,682,11,136,12,683,12,256,23
704.0,330.39003879964946,2,218,12,761,11,683,10,229,24
706.0,330.7719408922732,0,943,15,327,16,683,23,6,20
706.0,330.7719408922732,1,283,13,761,19,304,20,6,25
706.0,330.7719408922732,2,448,12,136,13,72,21,6,20
708.0,331.15428443043476,0,218,9,136,10,683,8,147,19
708.0,331.15428443043476,1,218,10,761,10,683,12,6,18
708.0,331.15428443043476,2,448,15,538,10,683,17,6,20
710.0,331.5370699244067,0,218,10,136,10,683,11,6,21
710.0,331.5370699244067,1,448,14,761,10,683,13,6,20
710.0,331.5370699244067,2,1002,16,761,10,683,14,229,21
712.0,331.92029788505135,0,448,12,136,11,683,15,147,21
712.0,331.92029788505135,1,218,9,136,10,683,8,229,19
712.0,331.92029788505135,2,448,13,136,14,683,22,6,22
714.0,332.3039688238216,0,283,12,761,12,695,16,6,21
714.0,332.3039688238216,1,448,14,136,11,683,16,6,21
714.0,332.3039688238216,2,218,11,136,9,683,11,256,22
716.0,332.68808325276166,0,1002,13,761,9,683,17,6,26
716.0,332.68808325276166,1,218,10,136,11,683,10,256,24
716.0,332.68808325276166,2,448,13,761,12,683,17,325,23
718.0,333.0726416845075,0,682,11,761,13,683,10,1,23
718.0,333.0726416845075,1,218,11,761,13,683,9,6,26
718.0,333.0726416845075,2,448,12,761,13,683,15,6,18
720.0,333.45764463228755,0,682,10,761,12,683,13,256,20
720.0,333.45764463228755,1,448,14,136,13,683,20,325,20
720.0,333.45764463228755,2,218,9,538,9,683,14,325,21
722.0,333.8430926099238,0,682,11,136,14,683,13,229,22
722.0,333.8430926099238,1,218,10,327,11,683,9,6,18
722.0,333.8430926099238,2,1002,13,761,11,683,17,6,20
724.0,334.22898613183185,0,218,10,136,12,683,7,6,23
724.0,334.22898613183185,1,594,11,136,13,683,9,229,21
724.0,334.22898613183185,2,218,12,761,9,683,17,6,21
726.0,334.61532571302206,0,616,10,761,9,683,11,229,17
726.0,334.61532571302206,1,594,9,538,8,683,11,6,16
726.0,334.61532571302206,2,234,11,761,12,66,16,6,19
728.0,335.0021118691001,0,218,11,761,9,683,12,1,21
728.0,335.0021118691001,1,1002,9,136,10,683,11,6,15
728.0,335.0021118691001,2,943,12,327,10,683,17,6,19
730.0,335.38934511626763,0,594,9,136,11,683,11,1,25
730.0,335.38934511626763,1,448,13,761,13,683,17,6,20
730.0,335.38934511626763,2,682,9,136,13,683,14,325,22
732.0,335.777025971323,0,448,12,136,13,114,14,6,20
732.0,335.777025971323,1,682,10,136,14,683,15,147,19
732.0,335.777025971323,2,682,10,136,11,683,9,325,21
734.0,336.1651549516619,0,1002,11,761,11,66,16,6,26
734.0,336.1651549516619,1,448,14,761,12,683,20,1,24
734.0,336.1651549516619,2,448,16,136,14,683,22,256,23
736.0,336.55373257527816,0,448,10,761,9,683,13,229,21
736.0,336.55373257527816,1,682,10,592,10,683,9,256,21
736.0,336.55373257527816,2,448,9,876,10,66,19,1,23
738.0,336.9427593607642,0,616,9,761,8,683,15,147,21
738.0,336.9427593607642,1,218,8,136,7,683,7,147,17
738.0,336.9427593607642,2,616,10,761,10,683,16,6,16
740.0,337.33223582731216,0,1002,5,592,7,683,6,498,11
740.0,337.33223582731216,1,594,5,761,9,683,7,1,9
740.0,337.33223582731216,2,218,4,592,7,683,7,256,13
742.0,337.7221624947139,0,234,6,327,7,114,13,561,15
742.0,337.7221624947139,1,682,6,136,8,683,6,256,10
742.0,337.7221624947139,2,448,7,945,7,66,13,337,9
744.0,338.11253988336273,0,218,7,327,11,683,12,229,23
744.0,338.11253988336273,1,1002,12,761,10,788,19,6,21
744.0,338.11253988336273,2,448,10,136,9,683,15,147,20
746.0,338.5033685142528,0,218,11,761,7,683,12,1,22
746.0,338.5033685142528,1,218,12,136,12,683,19,337,26
746.0,338.5033685142528,2,218,9,136,12,683,9,337,23
748.0,338.894648908981,0,1002,10,761,10,683,17,6,21
748.0,338.894648908981,1,448,10,761,12,683,18,6,23
748.0,338.894648908981,2,218,11,136,10,683,15,337,19
750.0,339.28638158974695,0,448,11,761,11,683,19,498,25
750.0,339.28638158974695,1,448,13,327,14,683,20,6,20
750.0,339.28638158974695,2,218,9,136,11,683,12,229,24
752.0,339.6785670793539,0,448,10,761,13,683,19,229,21
752.0,339.6785670793539,1,218,9,136,11,683,9,256,20
752.0,339.6785670793539,2,448,10,136,12,683,17,337,17
754.0,340.0712059012093,0,218,10,761,13,683,18,337,25
754.0,340.0712059012093,1,616,11,761,10,683,18,229,22
754.0,340.0712059012093,2,218,11,761,12,683,17,498,23
756.0,340.46429857932577,0,448,12,136,13,683,19,498,21
756.0,340.46429857932577,1,1002,12,761,11,683,18,1,24
756.0,340.46429857932577,2,218,11,136,11,683,17,337,21
758.0,340.85784563832163,0,682,10,761,10,683,16,229,19
758.0,340.85784563832163,1,594,10,136,11,683,18,256,23
758.0,340.85784563832163,2,448,10,136,10,237,18,6,18
760.0,341.2518476034216,0,218,11,761,12,683,16,6,19
760.0,341.2518476034216,1,616,11,761,13,683,19,498,22
760.0,341.2518476034216,2,448,12,761,11,683,14,6,21
762.0,341.64630500045746,0,494,12,761,11,66,15,523,16
762.0,341.64630500045746,1,494,12,761,10,72,16,498,16
762.0,341.64630500045746,2,448,11,761,13,684,16,337,15
764.0,342.04121835586886,0,448,12,761,15,683,22,337,21
764.0,342.04121835586886,1,494,14,136,15,114,20,6,20
764.0,342.04121835586886,2,218,10,761,10,683,15,6,23
766.0,342.43658819670384,0,448,12,761,14,683,19,498,19
766.0,342.43658819670384,1,448,12,136,12,683,19,6,24
766.0,342.43658819670384,2,218,10,876,11,683,22,270,24
768.0,342.83241505061994,0,943,11,136,12,683,15,6,16
768.0,342.83241505061994,1,1002,9,58,10,260,14,254,15
768.0,342.83241505061994,2,218,9,58,8,683,7,1,14
770.0,343.22869944588433,0,218,11,761,12,683,17,986,23
770.0,343.22869944588433,1,448,11,761,11,66,19,337,23
770.0,343.22869944588433,2,218,11,761,9,683,18,708,20
772.0,343.625441911375,0,218,9,58,9,683,15,337,23
772.0,343.625441911375,1,494,10,136,13,67,19,6,20
772.0,343.625441911375,2,594,9,136,13,683,11,1,22
774.0,344.02264297658115,0,448,12,761,12,260,18,337,21
774.0,344.02264297658115,1,448,13,761,14,683,25,986,21
774.0,344.02264297658115,2,594,9,58,11,683,11,498,19
776.0,344.42030317160413,0,218,11,761,11,683,15,498,20
776.0,344.42030317160413,1,682,11,136,14,683,14,480,22
776.0,344.42030317160413,2,1002,10,136,12,683,14,786,20
778.0,344.8184230271581,0,594,9,136,10,683,9,337,20
778.0,344.8184230271581,1,218,10,876,11,683,15,431,19
778.0,344.8184230271581,2,448,9,761,10,683,13,431,19
780.0,345.21700307457036,0,218,9,136,12,683,14,286,25
780.0,345.21700307457036,1,448,12,761,12,303,19,254,15
780.0,345.21700307457036,2,448,11,761,12,683,18,498,21
782.0,345.61604384578266,0,1002,10,761,12,683,19,498,24
782.0,345.61604384578266,1,682,11,761,12,683,12,583,19
782.0,345.61604384578266,2,448,12,58,14,683,22,6,21
784.0,346.0155458733517,0,448,11,58,12,237,23,498,22
784.0,346.0155458733517,1,494,10,58,11,237,23,6,18
784.0,346.0155458733517,2,218,11,136,12,683,18,498,19
786.0,346.4155096904495,0,448,11,761,9,67,17,986,17
786.0,346.4155096904495,1,448,14,538,16,683,21,270,24
786.0,346.4155096904495,2,234,12,58,12,683,20,6,20
788.0,346.81593583086453,0,682,9,58,12,683,10,431,15
788.0,346.81593583086453,1,448,13,136,11,260,17,480,23
788.0,346.81593583086453,2,943,11,854,11,683,12,583,19
790.0,347.2168248290023,0,448,12,136,12,67,23,6,20
790.0,347.2168248290023,1,494,13,761,11,67,22,986,20
790.0,347.2168248290023,2,218,11,761,11,683,22,498,28
792.0,347.618177219886,0,218,9,854,13,683,14,431,18
792.0,347.618177219886,1,448,12,761,11,683,15,337,20
792.0,347.618177219886,2,218,9,761,10,683,14,498,20
794.0,348.01999353915716,0,218,11,761,11,683,18,986,20
794.0,348.01999353915716,1,448,12,136,14,683,25,6,24
794.0,348.01999353915716,2,943,13,761,13,683,21,794,18
796.0,348.4222743230767,0,682,10,761,10,683,15,254,18
796.0,348.4222743230767,1,682,9,58,11,683,14,498,19
796.0,348.4222743230767,2,1002,11,761,13,683,19,498,20
798.0,348.82502010852517,0,218,12,761,10,67,19,986,22
798.0,348.82502010852517,1,1002,11,761,8,683,19,986,23
798.0,348.82502010852517,2,448,12,761,15,260,18,986,21
800.0,349.2282314330039,0,1002,10,761,10,683,19,986,20
800.0,349.2282314330039,1,682,10,761,11,683,16,786,25
800.0,349.2282314330039,2,218,9,854,10,683,13,498,20
802.0,349.63190883463534,0,1002,10,761,11,683,14,986,17
802.0,349.63190883463534,1,682,9,854,11,683,15,786,16
802.0,349.63190883463534,2,218,9,761,7,683,15,986,22
804.0,350.03605285216423,0,682,8,761,6,67,9,986,10
804.0,350.03605285216423,1,234,6,538,7,303,13,431,11
804.0,350.03605285216423,2,1002,9,761,7,67,10,439,12
806.0,350.4406640249577,0,448,12,854,8,260,19,498,20
806.0,350.4406640249577,1,218,9,58,12,260,13,498,13
806.0,350.4406640249577,2,494,10,854,9,67,18,986,20
808.0,350.8457428930066,0,234,12,761,12,67,27,498,23
808.0,350.8457428930066,1,218,9,854,11,683,14,254,21
808.0,350.8457428930066,2,682,9,58,13,683,17,498,21
810.0,351.251289996926,0,616,11,761,12,303,20,523,22
810.0,351.251289996926,1,682,9,854,12,683,14,498,21
810.0,351.251289996926,2,616,11,761,11,683,16,6,23
812.0,351.6573058779555,0,594,9,854,7,683,14,498,18
812.0,351.6573058779555,1,494,12,854,9,684,18,986,22
812.0,351.6573058779555,2,616,11,761,10,683,19,986,19
814.0,352.0637910779608,0,448,9,761,12,684,23,986,28
814.0,352.0637910779608,1,616,13,876,11,260,21,986,22
814.0,352.0637910779608,2,448,10,761,13,260,16,986,23
816.0,352.47074613943374,0,594,9,58,10,683,8,126,16
816.0,352.47074613943374,1,494,14,854,14,683,20,6,18
816.0,352.47074613943374,2,218,9,538,11,683,10,498,16
818.0,352.8781716054931,0,218,11,854,12,683,15,794,19
818.0,352.8781716054931,1,943,10,854,12,303,21,794,22
818.0,352.8781716054931,2,682,10,854,10,683,19,986,21
820.0,353.28606801988565,0,1002,11,761,12,683,16,986,21
820.0,353.28606801988565,1,448,11,854,10,260,21,986,19
820.0,353.28606801988565,2,682,12,122,12,683,16,986,20
822.0,353.69443592698667,0,682,9,761,8,917,17,986,18
822.0,353.69443592698667,1,943,12,58,14,260,17,6,16
822.0,353.69443592698667,2,616,13,761,13,260,14,986,20
824.0,354.1032758718005,0,594,10,854,13,683,17,986,22
824.0,354.1032758718005,1,218,9,761,11,260,17,523,23
824.0,354.1032758718005,2,448,14,761,12,114,21,986,19
826.0,354.51258839996177,0,218,10,761,11,260,14,986,19
826.0,354.51258839996177,1,594,9,58,11,683,14,986,17
826.0,354.51258839996177,2,594,10,854,13,260,11,126,16
828.0,354.9223740577355,0,616,10,761,12,260,13,986,20
828.0,354.9223740577355,1,494,11,854,14,67,21,6,22
828.0,354.9223740577355,2,682,11,876,12,683,15,986,22
830.0,355.33263339201847,0,448,14,761,14,917,19,986,23
830.0,355.33263339201847,1,448,15,854,9,67,19,126,19
830.0,355.33263339201847,2,616,11,761,12,683,17,986,21
832.0,355.7433669503393,0,448,11,761,10,684,18,986,20
832.0,355.7433669503393,1,616,11,761,10,917,20,986,22
832.0,355.7433669503393,2,494,15,854,14,917,20,126,18
834.0,356.1545752808597,0,494,9,854,9,917,12,986,15
834.0,356.1545752808597,1,682,9,122,9,683,6,126,13
834.0,356.1545752808597,2,956,9,854,12,917,10,126,13
836.0,356.5662589323749,0,1002,12,761,10,194,18,986,17
836.0,356.5662589323749,1,594,9,58,7,683,16,986,16
836.0,356.5662589323749,2,218,9,854,13,683,13,126,20
838.0,356.97841845431464,0,448,14,854,14,917,20,986,22
838.0,356.97841845431464,1,448,14,854,10,194,19,986,17
838.0,356.97841845431464,2,448,13,876,15,917,16,6,21
840.0,357.3910543967436,0,218,12,854,15,917,17,986,16
840.0,357.3910543967436,1,448,13,854,10,67,21,126,21
840.0,357.3910543967436,2,448,13,854,14,917,20,6,21
842.0,357.8041673103624,0,494,14,854,12,280,24,126,24
842.0,357.8041673103624,1,594,12,854,11,260,16,126,18
842.0,357.8041673103624,2,494,12,58,13,114,20,126,21
844.0,358.2177577465081,0,1002,11,58,12,260,20,862,17
844.0,358.2177577465081,1,1002,10,761,10,917,13,986,16
844.0,358.2177577465081,2,448,12,761,10,917,20,126,17
846.0,358.6318262571551,0,594,9,876,15,683,16,986,16
846.0,358.6318262571551,1,1002,12,761,10,917,18,986,21
846.0,358.6318262571551,2,682,11,854,12,917,14,126,21
848.0,359.04637339491603,0,594,12,538,13,260,18,126,22
848.0,359.04637339491603,1,448,14,876,12,917,18,986,21
848.0,359.04637339491603,2,1002,13,876,10,917,17,986,17
850.0,359.461399713042,0,448,15,876,12,917,17,126,23
850.0,359.461399713042,1,494,15,854,13,917,19,126,20
850.0,359.461399713042,2,448,11,761,13,683,20,862,21
852.0,359.87690576542366,0,616,10,538,11,917,14,126,16
852.0,359.87690576542366,1,448,11,761,12,260,18,46,14
852.0,359.87690576542366,2,594,11,761,7,917,18,175,18
854.0,360.2928921065922,0,594,13,58,12,260,13,126,20
854.0,360.2928921065922,1,448,16,854,14,917,20,862,19
854.0,360.2928921065922,2,448,13,876,11,917,17,986,19
856.0,360.7093592917195,0,1002,12,876,15,917,18,862,24
856.0,360.7093592917195,1,682,12,854,8,917,22,126,18
856.0,360.7093592917195,2,494,14,761,11,917,17,862,17
858.0,361.12630787661925,0,1002,15,854,10,260,18,46,19
858.0,361.12630787661925,1,448,15,761,10,917,14,862,22
858.0,361.12630787661925,2,494,12,854,13,917,21,46,21
860.0,361.54373841774776,0,494,12,854,14,917,20,126,25
860.0,361.54373841774776,1,594,13,538,11,260,16,46,23
860.0,361.54373841774776,2,1002,14,876,12,917,20,986,24
862.0,361.9616514722042,0,494,13,854,10,917,17,46,20
862.0,361.9616514722042,1,494,14,854,13,917,19,6,22
862.0,361.9616514722042,2,448,12,876,11,917,21,986,25
864.0,362.3800475977322,0,594,12,854,9,917,13,862,15
864.0,362.3800475977322,1,218,12,854,12,917,16,862,14
864.0,362.3800475977322,2,448,13,876,11,917,15,46,16
866.0,362.7989273527196,0,418,14,854,11,194,19,862,20
866.0,362.7989273527196,1,494,13,854,12,194,18,862,22
