cents,f0,rep,q0_mode,q0_nuniq,q1_mode,q1_nuniq,q2_mode,q2_nuniq,q3_mode,q3_nuniq
60.0,227.75828324510306,1,235,12,413,7,303,24,4,33
60.0,227.75828324510306,2,469,14,413,7,449,27,678,26
62.0,228.02155197227083,0,19,14,413,5,121,22,669,25
62.0,228.02155197227083,1,19,14,413,7,475,26,285,30
62.0,228.02155197227083,2,406,17,413,6,357,29,133,23
64.0,228.28512501514442,0,469,11,413,5,520,23,669,18
64.0,228.28512501514442,1,19,12,413,4,840,27,285,22
64.0,228.28512501514442,2,725,12,413,8,712,28,104,31
66.0,228.54900272548616,0,725,12,413,7,258,24,620,25
66.0,228.54900272548616,1,19,14,413,8,461,29,458,24
66.0,228.54900272548616,2,749,15,413,8,538,26,975,23
68.0,228.8131854554651,0,429,15,413,8,169,28,285,21
68.0,228.8131854554651,1,19,14,413,7,538,29,133,25
68.0,228.8131854554651,2,429,12,413,10,127,25,925,26
70.0,229.07767355765742,0,84,16,413,6,840,22,4,29
70.0,229.07767355765742,1,469,11,413,6,357,25,285,20
70.0,229.07767355765742,2,19,12,413,11,357,23,975,24
72.0,229.34246738504672,0,429,13,413,8,25,27,446,26
72.0,229.34246738504672,1,19,14,413,4,707,28,446,22
72.0,229.34246738504672,2,19,14,413,7,258,24,285,26
74.0,229.6075672910247,0,19,13,413,5,520,23,446,26
74.0,229.6075672910247,1,725,11,413,9,520,27,677,28
74.0,229.6075672910247,2,19,14,413,7,258,29,133,24
76.0,229.87297362939154,0,578,16,413,6,115,26,285,26
76.0,229.87297362939154,1,19,15,413,9,357,22,285,27
76.0,229.87297362939154,2,725,14,413,7,461,28,270,28
78.0,230.1386867543564,0,725,15,413,10,357,22,877,25
78.0,230.1386867543564,1,346,12,413,6,67,22,285,20
78.0,230.1386867543564,2,19,16,413,7,642,29,285,28
80.0,230.40470702053787,0,19,13,413,5,538,23,285,23
80.0,230.40470702053787,1,757,14,413,10,127,26,605,27
80.0,230.40470702053787,2,19,11,413,5,840,21,285,22
82.0,230.67103478296437,0,429,13,413,8,67,28,244,28
82.0,230.67103478296437,1,19,15,413,11,67,26,285,23
82.0,230.67103478296437,2,725,12,413,8,169,26,4,27
84.0,230.9376703970748,0,429,11,413,10,303,30,4,25
84.0,230.9376703970748,1,725,13,413,8,538,25,4,29
84.0,230.9376703970748,2,19,13,413,7,520,28,285,23
86.0,231.20461421871883,0,19,15,413,7,67,20,285,22
86.0,231.20461421871883,1,346,14,413,4,210,22,677,21
86.0,231.20461421871883,2,725,13,413,7,130,25,4,22
88.0,231.47186660415758,0,19,13,413,4,357,22,285,26
88.0,231.47186660415758,1,406,17,413,10,357,27,285,27
88.0,231.47186660415758,2,429,16,413,5,18,30,4,26
90.0,231.73942791006388,0,19,15,413,6,855,21,285,19
90.0,231.73942791006388,1,725,11,413,9,357,21,4,25
90.0,231.73942791006388,2,19,12,413,7,357,23,677,24
92.0,232.00729849352282,0,19,14,413,6,332,27,285,23
92.0,232.00729849352282,1,429,13,413,7,461,28,605,32
92.0,232.00729849352282,2,19,14,413,7,67,27,133,22
94.0,232.27547871203242,0,19,14,413,3,357,27,967,25
94.0,232.27547871203242,1,84,11,413,4,67,22,285,27
