codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,440.16771399206516,439.9998068223325,439.99999890643517,439.9999989203443,440.16771399206516,439.9998068223325,0.0,0.0,0,-0.6605256521642437,5.472708211618874e-08,-0.6605256521642437,5.472708211618874e-08,-0.0007600814292294903,-4.248038008234651e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,440.1290632823021,440.0397125576397,439.99999890817907,439.99999891358925,440.1290632823021,440.0397125576397,0.0,0.0,0,-0.35149398983873903,2.1287153528899714e-08,-0.35149398983873903,2.1287153528899714e-08,0.1562468852871311,-4.274616581728104e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,439.9037525953923,440.0000481095564,439.99999891806067,439.9999989143099,439.9037525953923,440.0000481095564,0.0,0.0,0,0.3789279542270272,-1.4757737423427693e-08,0.3789279542270272,-1.4757737423427693e-08,0.00018929294903026218,-4.271780972648458e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,440.11531032910744,439.93206525748576,439.9999989132737,439.9999989089345,440.11531032910744,439.93206525748576,0.0,0.0,0,-0.7209614407144641,-1.7073045963346246e-08,-0.7209614407144641,-1.7073045963346246e-08,-0.26731822655980975,-4.292931275849563e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,4,440.15418973060684,440.01351771499793,439.9999989199129,439.9999989139952,440.15418973060684,440.01351771499793,0.0,0.0,0,-0.5533858676852073,-2.3283785200484923e-08,-0.5533858676852073,-2.3283785200484923e-08,0.05318629316659126,-4.273019161063769e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,0,442.21339051073716,442.19852321825874,442.54889767669243,442.5488976862487,442.21339051073716,442.19852321825874,0.0,0.0,0,-0.058205373670276714,3.738398729911646e-08,-0.058205373670276714,3.738398729911646e-08,-1.3712031939169236,-9.05130493113519e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,1,442.38590119634273,442.2674121298063,442.54889768516654,442.54889768237143,442.38590119634273,442.2674121298063,0.0,0.0,0,-0.4637575071875447,-1.0934383822566143e-08,-0.4637575071875447,-1.0934383822566143e-08,-1.1015199313987225,-9.066472643161878e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,2,442.33634103461884,442.3460189042761,442.5488976830201,442.54889769041193,442.33634103461884,442.3460189042761,0.0,0.0,0,0.03787722742626591,2.891656222733485e-08,0.03787722742626591,2.891656222733485e-08,-0.793844917582717,-9.035018582567662e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,3,442.28565181181386,442.1068404571576,442.5488976852228,442.54889768177344,442.28565181181386,442.1068404571576,0.0,0.0,0,-0.7000609174433055,-1.3493793462072164e-08,-0.7000609174433055,-1.3493793462072164e-08,-1.7301839822720146,-9.068811977412807e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,4,442.085624201019,442.2665924746859,442.5488976859962,442.54889768073957,442.085624201019,442.2665924746859,0.0,0.0,0,0.7085376971718126,-2.0563883893121383e-08,0.7085376971718126,-2.0563883893121383e-08,-1.1047284340576913,-9.072856367463596e-06
