file,offset,f_in,f_out,cents_in,within_semitone,shift_cents,toward_grid,disagreement
bass_electronic_018-048-075.wav,0,130.870066293759,130.87426775918127,-2099.2420489459187,0.7579510540813317,0.05557881527360137,-0.05557881527360137,964.8621135210968
bass_electronic_018-048-075.wav,10,131.62816992499543,131.62866530009745,-2089.242298189585,10.757701810414801,0.006515388236184031,-0.006515388236184031,942.6870624414449
bass_electronic_018-048-075.wav,20,132.39066763484144,132.39272253160556,-2079.2425142350744,20.757485764925605,0.026871075585387566,-0.026871075585387566,1200.0093327671525
bass_electronic_018-048-075.wav,30,133.1576232283927,133.1584417589635,-2069.2421988472374,30.757801152762568,0.010642001596459023,-0.010642001596459023,1200.0016704496863
bass_electronic_018-048-075.wav,40,133.92897341462574,133.93754833838474,-2059.242510089936,40.75748991006412,0.11084027886481145,-0.11084027886481145,1005.9737708473012
bass_electronic_018-048-075.wav,50,134.70480834559413,134.70847895858128,-2049.242609298835,50.75739070116515,0.047174289347618276,0.047174289347618276,1014.5094849588313
bass_electronic_018-048-075.wav,60,135.48515368470277,135.4888625966742,-2039.242502949723,60.757497050276925,0.047391958671849636,0.047391958671849636,1199.9970515003572
bass_electronic_018-048-075.wav,70,136.27003149550055,136.27492125070572,-2029.2422450504785,70.75775494952154,0.062120473106477836,0.062120473106477836,1200.0109408167118
bass_electronic_018-048-075.wav,80,137.05941684099582,137.06462668928495,-2019.2424839869473,80.75751601305274,0.0658057325691933,0.0658057325691933,1200.0004568616018
bass_electronic_018-048-075.wav,90,137.8534126169329,137.8561117951748,-2009.2422497532739,90.75775024672612,0.03389733660430658,0.03389733660430658,1200.0064949316359
bass_electronic_018-049-075.wav,0,138.71419124014344,138.71316878034457,-1998.4657592877074,1.5342407122925579,-0.012760941945037603,0.012760941945037603,1199.999736797335
bass_electronic_018-049-075.wav,10,139.5177421796728,139.51381140897112,-1988.4659106192603,11.534089380739715,-0.048776448331848965,0.048776448331848965,1199.9976729549935
bass_electronic_018-049-075.wav,20,140.32595858065415,140.3251732047683,-1978.4659310668108,21.534068933189246,-0.009689392422744143,0.009689392422744143,1199.9963516900634
