lang,group,file,char_level,wer_original,wer_coded,delta,relative,recogniser_failed
vi_vn,tone,10057024225045006889.wav,0,0.2608695652173913,0.30434782608695654,0.043478260869565244,0.16666666666666677,0
vi_vn,tone,10072308967409148015.wav,0,0.6875,0.625,-0.0625,-0.09090909090909091,0
vi_vn,tone,10078277432407694754.wav,0,0.12,0.48,0.36,3.0,0
vi_vn,tone,10093159547857080890.wav,0,0.12,0.44,0.32,2.666666666666667,0
vi_vn,tone,1015279164912843543.wav,0,0.13513513513513514,0.4864864864864865,0.35135135135135137,2.6,0
vi_vn,tone,1015563747297542961.wav,0,0.20833333333333334,0.6666666666666666,0.45833333333333326,2.1999999999999997,0
vi_vn,tone,10169179696365895477.wav,0,0.15384615384615385,0.8269230769230769,0.673076923076923,4.374999999999999,0
vi_vn,tone,10185666587391780903.wav,0,0.2608695652173913,0.34782608695652173,0.08695652173913043,0.3333333333333333,0
vi_vn,tone,10188670312101823236.wav,0,0.6428571428571429,0.8928571428571429,0.25,0.38888888888888884,0
vi_vn,tone,1020360004532126324.wav,0,0.37209302325581395,0.6046511627906976,0.2325581395348837,0.6249999999999999,0
vi_vn,tone,10205789067921017036.wav,0,0.2962962962962963,0.5185185185185185,0.2222222222222222,0.75,0
vi_vn,tone,10241630228065064831.wav,0,0.2857142857142857,0.5357142857142857,0.25,0.875,0
vi_vn,tone,10259306006333604242.wav,0,0.21739130434782608,0.6956521739130435,0.4782608695652174,2.2,0
vi_vn,tone,10259532564282505455.wav,0,0.23076923076923078,0.7307692307692307,0.49999999999999994,2.1666666666666665,0
vi_vn,tone,10315066330134186872.wav,0,0.2,0.37142857142857144,0.17142857142857143,0.8571428571428571,0
vi_vn,tone,10342739006640083455.wav,0,0.3103448275862069,0.5172413793103449,0.20689655172413796,0.6666666666666667,0
vi_vn,tone,10348723993292846786.wav,0,0.23529411764705882,0.5294117647058824,0.29411764705882354,1.25,0
vi_vn,tone,103677662251086347.wav,0,0.2413793103448276,0.5172413793103449,0.27586206896551724,1.1428571428571428,0
vi_vn,tone,1036876241637854415.wav,0,0.41025641025641024,0.6923076923076923,0.28205128205128205,0.6875,0
vi_vn,tone,10402105561395439139.wav,0,0.48484848484848486,0.6363636363636364,0.1515151515151515,0.31249999999999994,0
vi_vn,tone,10449380600207928518.wav,0,0.30952380952380953,0.5,0.19047619047619047,0.6153846153846153,0
vi_vn,tone,10453290072265880595.wav,0,0.375,0.5,0.125,0.3333333333333333,0
vi_vn,tone,10458632275226443935.wav,0,0.17857142857142858,0.4642857142857143,0.2857142857142857,1.5999999999999999,0
vi_vn,tone,10473837320520117918.wav,0,0.5,0.875,0.375,0.75,0
vi_vn,tone,10531082783264670622.wav,0,0.42857142857142855,0.6428571428571429,0.21428571428571436,0.5000000000000002,0
vi_vn,tone,10531614475822620460.wav,0,0.3055555555555556,0.5,0.19444444444444442,0.6363636363636362,0
vi_vn,tone,10578217408292407263.wav,0,0.30434782608695654,0.782608695652174,0.4782608695652174,1.5714285714285714,0
vi_vn,tone,10618648079469862393.wav,0,0.25,0.71875,0.46875,1.875,0
vi_vn,tone,10631977326382455765.wav,0,0.3225806451612903,0.45161290322580644,0.12903225806451613,0.4,0
vi_vn,tone,1064415134029413807.wav,0,0.2857142857142857,0.3333333333333333,0.047619047619047616,0.16666666666666666,0
vi_vn,tone,10671728061564401646.wav,0,0.3076923076923077,0.6666666666666666,0.3589743589743589,1.1666666666666665,0
vi_vn,tone,10684685439757401963.wav,0,0.6896551724137931,0.8620689655172413,0.17241379310344818,0.24999999999999983,0
vi_vn,tone,10749275134331213732.wav,0,0.18181818181818182,0.6666666666666666,0.4848484848484848,2.6666666666666665,0
vi_vn,tone,1075070731814204468.wav,0,0.23529411764705882,0.5882352941176471,0.35294117647058826,1.5000000000000002,0
vi_vn,tone,10751146797584417593.wav,0,0.23076923076923078,0.46153846153846156,0.23076923076923078,1.0,0
vi_vn,tone,10751579734990864351.wav,0,0.16129032258064516,0.3870967741935484,0.22580645161290322,1.4,0
vi_vn,tone,10751907101173251895.wav,0,0.17391304347826086,0.391304347826087,0.2173913043478261,1.2500000000000002,0
vi_vn,tone,10810237292880731030.wav,0,0.3076923076923077,0.6538461538461539,0.34615384615384615,1.125,0
vi_vn,tone,10821239110381895043.wav,0,0.1935483870967742,0.41935483870967744,0.22580645161290325,1.1666666666666667,0
vi_vn,tone,10826204555500854553.wav,0,0.21739130434782608,0.4782608695652174,0.26086956521739135,1.2000000000000002,0
vi_vn,tone,10828838602453417649.wav,0,0.3,0.7,0.39999999999999997,1.3333333333333333,0
vi_vn,tone,10865708684535274985.wav,0,0.5111111111111111,0.6888888888888889,0.1777777777777778,0.34782608695652184,0
vi_vn,tone,1088021197531323436.wav,0,0.17391304347826086,0.43478260869565216,0.2608695652173913,1.5,0
vi_vn,tone,10934091967051776880.wav,0,0.5384615384615384,0.8076923076923077,0.2692307692307693,0.5000000000000001,0
vi_vn,tone,10945777525729584175.wav,0,0.6,0.75,0.15000000000000002,0.25000000000000006,0
vi_vn,tone,10970996098314274277.wav,0,0.3076923076923077,0.8461538461538461,0.5384615384615384,1.7499999999999998,0
vi_vn,tone,11041422100213829777.wav,0,0.16666666666666666,0.5555555555555556,0.38888888888888895,2.333333333333334,0
vi_vn,tone,1104537856130539646.wav,0,0.5263157894736842,1.0,0.4736842105263158,0.9000000000000001,0
vi_vn,tone,11052182461166299983.wav,0,0.21875,0.5625,0.34375,1.5714285714285714,0
vi_vn,tone,1106781061019781398.wav,0,0.18518518518518517,0.4444444444444444,0.25925925925925924,1.4,0
vi_vn,tone,11073115628039396251.wav,0,0.23333333333333334,0.6833333333333333,0.45,1.9285714285714286,0
vi_vn,tone,11087041613949188337.wav,0,0.3333333333333333,0.48717948717948717,0.15384615384615385,0.46153846153846156,0
vi_vn,tone,11098060233367360519.wav,0,0.3157894736842105,0.2631578947368421,-0.05263157894736842,-0.16666666666666666,0
vi_vn,tone,11100003200392992335.wav,0,0.2608695652173913,0.43478260869565216,0.17391304347826086,0.6666666666666666,0
vi_vn,tone,11139384777781065720.wav,0,0.391304347826087,0.5652173913043478,0.1739130434782608,0.44444444444444425,0
vi_vn,tone,11158540918299428613.wav,0,0.3076923076923077,0.8846153846153846,0.5769230769230769,1.8749999999999998,0
vi_vn,tone,11163757285628566794.wav,0,0.2894736842105263,0.5526315789473685,0.26315789473684215,0.9090909090909092,0
vi_vn,tone,11166288458925932654.wav,0,0.2777777777777778,0.6666666666666666,0.38888888888888884,1.3999999999999997,0
