lang,group,file,char_level,wer_original,wer_coded,delta,relative
vi_vn,tone,10057024225045006889.wav,0,0.0,0.043478260869565216,0.043478260869565216,nan
vi_vn,tone,10072308967409148015.wav,0,0.1875,0.875,0.6875,3.6666666666666665
vi_vn,tone,10078277432407694754.wav,0,0.08,0.0,-0.08,-1.0
vi_vn,tone,10093159547857080890.wav,0,0.0,0.0,0.0,nan
vi_vn,tone,1015279164912843543.wav,0,0.0,0.05405405405405406,0.05405405405405406,nan
vi_vn,tone,1015563747297542961.wav,0,0.125,0.2916666666666667,0.16666666666666669,1.3333333333333335
vi_vn,tone,10169179696365895477.wav,0,0.057692307692307696,0.15384615384615385,0.09615384615384616,1.6666666666666667
vi_vn,tone,10185666587391780903.wav,0,0.0,0.043478260869565216,0.043478260869565216,nan
vi_vn,tone,10188670312101823236.wav,0,0.21428571428571427,0.42857142857142855,0.21428571428571427,1.0
vi_vn,tone,1020360004532126324.wav,0,0.13953488372093023,0.11627906976744186,-0.023255813953488372,-0.16666666666666666
vi_vn,tone,10205789067921017036.wav,0,0.07407407407407407,0.14814814814814814,0.07407407407407407,1.0
vi_vn,tone,10241630228065064831.wav,0,0.03571428571428571,0.07142857142857142,0.03571428571428571,1.0
vi_vn,tone,10259306006333604242.wav,0,0.043478260869565216,0.34782608695652173,0.30434782608695654,7.000000000000001
vi_vn,tone,10259532564282505455.wav,0,0.038461538461538464,0.038461538461538464,0.0,0.0
vi_vn,tone,10315066330134186872.wav,0,0.0,0.0,0.0,nan
vi_vn,tone,10342739006640083455.wav,0,0.0,0.034482758620689655,0.034482758620689655,nan
vi_vn,tone,10348723993292846786.wav,0,0.058823529411764705,1.0,0.9411764705882353,16.0
vi_vn,tone,103677662251086347.wav,0,0.034482758620689655,0.0,-0.034482758620689655,-1.0
vi_vn,tone,1036876241637854415.wav,0,0.05128205128205128,0.9743589743589743,0.923076923076923,18.0
vi_vn,tone,10402105561395439139.wav,0,0.18181818181818182,0.24242424242424243,0.06060606060606061,0.3333333333333333
vi_vn,tone,10449380600207928518.wav,0,0.11904761904761904,0.16666666666666666,0.047619047619047616,0.4
vi_vn,tone,10453290072265880595.wav,0,0.05,0.375,0.325,6.5
vi_vn,tone,10458632275226443935.wav,0,0.0,1.0,1.0,nan
vi_vn,tone,10473837320520117918.wav,0,0.16666666666666666,0.20833333333333334,0.041666666666666685,0.2500000000000001
vi_vn,tone,10531082783264670622.wav,0,0.14285714285714285,0.10714285714285714,-0.03571428571428571,-0.25
th_th,tone,10021525843523202225.wav,1,0.232,0.176,-0.05600000000000002,-0.24137931034482768
th_th,tone,10026868752543983818.wav,1,0.013333333333333334,0.02666666666666667,0.013333333333333334,1.0
th_th,tone,10039458165040799931.wav,1,0.12666666666666668,0.17333333333333334,0.04666666666666666,0.36842105263157887
th_th,tone,1007571455564489221.wav,1,0.07432432432432433,0.0472972972972973,-0.02702702702702703,-0.36363636363636365
th_th,tone,10084130310330574566.wav,1,0.09090909090909091,0.11363636363636363,0.02272727272727272,0.24999999999999992
th_th,tone,10101128707722413083.wav,1,0.013157894736842105,0.4473684210526316,0.4342105263157895,33.0
th_th,tone,10105312761033339989.wav,1,0.23300970873786409,0.33980582524271846,0.10679611650485438,0.45833333333333337
th_th,tone,1015499225257626992.wav,1,0.05660377358490566,0.11320754716981132,0.05660377358490566,1.0
th_th,tone,10169675868821705996.wav,1,0.02586206896551724,0.02586206896551724,0.0,0.0
th_th,tone,1019167928630402440.wav,1,0.024844720496894408,0.055900621118012424,0.031055900621118016,1.2500000000000002
th_th,tone,1019248392636387261.wav,1,0.0915032679738562,0.45751633986928103,0.3660130718954248,4.0
th_th,tone,10216551269307861857.wav,1,0.09166666666666666,0.19166666666666668,0.10000000000000002,1.0909090909090913
th_th,tone,10219732965302371541.wav,1,0.1171875,0.15625,0.0390625,0.3333333333333333
th_th,tone,10223156761300860880.wav,1,0.0784313725490196,0.3137254901960784,0.23529411764705882,3.0
th_th,tone,10233948161307563280.wav,1,0.03333333333333333,0.1,0.06666666666666668,2.0000000000000004
th_th,tone,10237649933703760482.wav,1,0.03225806451612903,0.03225806451612903,0.0,0.0
th_th,tone,10238045899288506400.wav,1,0.057971014492753624,0.463768115942029,0.4057971014492754,7.0
th_th,tone,10248360673750680732.wav,1,0.03787878787878788,0.24242424242424243,0.20454545454545456,5.4
th_th,tone,10254386637478850663.wav,1,0.10317460317460317,0.15079365079365079,0.047619047619047616,0.46153846153846156
th_th,tone,1026328125434336525.wav,1,0.0,0.359375,0.359375,nan
th_th,tone,10281471544454650617.wav,1,0.19298245614035087,0.14912280701754385,-0.043859649122807015,-0.22727272727272727
th_th,tone,10281772796474355231.wav,1,0.08333333333333333,0.09523809523809523,0.011904761904761904,0.14285714285714285
th_th,tone,10282461223805481506.wav,1,0.3898305084745763,0.4830508474576271,0.09322033898305082,0.23913043478260862
th_th,tone,10298102842969090649.wav,1,1.0206185567010309,0.845360824742268,-0.17525773195876282,-0.17171717171717166
th_th,tone,1032427344821915583.wav,1,0.2119205298013245,0.36423841059602646,0.15231788079470196,0.7187499999999999
yue_hant_hk,tone,10006915745726529860.wav,1,0.5102040816326531,0.46938775510204084,-0.040816326530612235,-0.07999999999999997
yue_hant_hk,tone,1003282807420591297.wav,1,0.5346534653465347,0.5544554455445545,0.01980198019801982,0.03703703703703707
yue_hant_hk,tone,10115432746173245930.wav,1,0.5272727272727272,0.5454545454545454,0.018181818181818188,0.03448275862068967
yue_hant_hk,tone,10123879626346052468.wav,1,0.7560975609756098,0.7073170731707317,-0.04878048780487809,-0.06451612903225812
