codec,rate_label,stimulus,sample_rate,n_tones,n_partials,edge_hz,edge_first_fk_hz,first_cross_hz,frac_flat_below,frac_shifted_above,n_shifted,grid_fraction,est8_m40,est8_p40,est2_m40,est2_p40,est8_toward_grid,est2_toward_grid,h1_max_abs_shift
dac,Q6,note,16000,120,631,3600.0000,3644.1320,2800.0000,0.7899,0.8056,109,-0.3093,-0.3977,-0.4121,-0.9009,-1.3243,-0.1031,0.0214,63.7490
encodec,24.0kbps,note,24000,120,631,2000.0000,2008.7020,2000.0000,0.9098,0.7955,129,0.4710,0.0279,-0.2409,-0.6213,-0.4763,0.1002,0.0140,4.0278
encodec,3.0kbps,note,24000,120,631,1000.0000,1004.3510,1000.0000,0.8488,0.7655,277,0.6079,0.1300,-3.2077,-0.8475,-0.8245,0.7541,-0.0292,30.0262
encodec_ft_encodec_ftm_flat_s0,3.0kbps,note,24000,120,631,1400.0000,1418.3070,1400.0000,0.7909,0.7953,236,0.4667,-0.0267,-1.1435,-0.8739,-0.8433,0.1308,-0.0227,72.3446
encodec_ft_encodec_ftm_grid_s0,3.0kbps,note,24000,120,631,1400.0000,1418.3070,1400.0000,0.7764,0.8047,245,0.5308,0.0927,-1.2199,-0.3504,-0.8619,0.3685,0.0095,73.1236
mimi,Q8,note,24000,120,631,3600.0000,3644.1320,3000.0000,0.5765,0.8056,186,0.3041,-0.2622,-0.7993,-0.3504,-1.2852,0.1393,0.2600,76.9330
